scenario_id,deck_vx,deck_z0,deck_z_amp,deck_z_freq,deck_z_phase,deck_z_peak_to_peak,deck_z_peak_vz,deck_z_period_s,base_wind_x,rel_x0,rel_z0,v_x_rel0,v_z0,theta_deg,q,pass_name,low_name,target_name,success,alpha,attempts,return_status,failure_mode,low_tw_ratio,low_T_dot_max,low_T_dot_weight_per_sec,low_delta_max_deg,low_delta_dot_max_deg_s,target_tw_ratio,target_T_dot_max,target_T_dot_weight_per_sec,target_delta_max_deg,target_delta_dot_max_deg_s,feasible_tw_ratio,feasible_T_dot_max,feasible_T_dot_weight_per_sec,feasible_delta_max_deg,feasible_delta_dot_max_deg_s
7,0.3819265221073296,0.0,0.3460244922281839,0.2904739222643194,0.5305793178609056,0.6920489844563678,0.10051109145704007,21.63080684902979,-3.6876129781432496,-42.52577793488171,36.456496085166236,-0.01802754226644332,-1.7413192116345937,80.90915491481417,-0.0954392257940605,hf3,hu3,C0,True,0.01,2,Solve_Succeeded,none,1.1472515237331393,1.1101159707069397,0.028290417194366452,3.1240502929687497,8.120191497802734,2.0,39.24,1.0,59.99999999999999,180.0,1.155779008495808,1.4914148109998702,0.038007513022422786,3.6928097900390617,9.838989582824706
8,1.3756776397243362,0.0,0.32057585923572507,0.3130649886325486,0.5198079199756344,0.6411517184714501,0.10036107772750177,20.06990732059886,1.575830416911261,-40.400250074855194,52.17474480240823,1.3134793649249485,-1.1850254795350268,83.96160771839767,-0.07195018220027785,hf1,hu1,C0,True,0.05,6,Solve_Succeeded,none,1.109375,2.6057812499999997,0.06640624999999999,2.109375,9.140625,2.0,39.24,1.0,59.99999999999999,180.0,1.15390625,4.4374921875,0.1130859375,5.00390625,17.68359375
8,1.3756776397243362,0.0,0.32057585923572507,0.3130649886325486,0.5198079199756344,0.6411517184714501,0.10036107772750177,20.06990732059886,1.575830416911261,-40.400250074855194,52.17474480240823,1.3134793649249485,-1.1850254795350268,83.96160771839767,-0.07195018220027785,hf2,hu2,C0,True,0.01,2,Solve_Succeeded,none,1.1403839111328122,3.796135894775391,0.09674148559570313,4.378417968749999,9.947021484374998,2.0,39.24,1.0,59.99999999999999,180.0,1.1489800720214842,4.150574535827637,0.1057740707397461,4.9346337890625,11.647551269531249
8,1.3756776397243362,0.0,0.32057585923572507,0.3130649886325486,0.5198079199756344,0.6411517184714501,0.10036107772750177,20.06990732059886,1.575830416911261,-40.400250074855194,52.17474480240823,1.3134793649249485,-1.1850254795350268,83.96160771839767,-0.07195018220027785,hf3,hu3,C0,True,0.01,2,Solve_Succeeded,none,1.1355154618024823,3.7290318095326427,0.09503139168024063,3.392560729980469,9.099649429321289,2.0,39.24,1.0,59.99999999999999,180.0,1.1441603071844575,4.084141491437316,0.10408107776343824,3.958635122680664,10.808652935028077
9,0.16210843061714808,0.0,0.2271439352838609,0.29428081581676796,1.767043978499777,0.4542878705677218,0.06684410258316573,21.350985077776087,8.656189522201727,-35.21732095924295,60.44481150004089,0.8059424757529712,-2.2521958243014377,78.17138892822716,0.09057987901394901,hf1,hu1,C0,True,0.11,12,Solve_Succeeded,none,1.2265625,3.9853125,0.1015625,2.578125,4.21875,2.0,39.24,1.0,59.99999999999999,180.0,1.311640625,7.863328125000001,0.20039062500000002,8.89453125,23.554687499999996
9,0.16210843061714808,0.0,0.2271439352838609,0.29428081581676796,1.767043978499777,0.4542878705677218,0.06684410258316573,21.350985077776087,8.656189522201727,-35.21732095924295,60.44481150004089,0.8059424757529712,-2.2521958243014377,78.17138892822716,0.09057987901394901,hf2,hu2,C0,True,0.0,1,Solve_Succeeded,none,1.2757754516601563,7.464018493652343,0.19021453857421872,6.6708984375,11.961364746093748,2.0,39.24,1.0,59.99999999999999,180.0,1.2757754516601563,7.464018493652343,0.19021453857421872,6.6708984375,11.961364746093748
9,0.16210843061714808,0.0,0.2271439352838609,0.29428081581676796,1.767043978499777,0.4542878705677218,0.06684410258316573,21.350985077776087,8.656189522201727,-35.21732095924295,60.44481150004089,0.8059424757529712,-2.2521958243014377,78.17138892822716,0.09057987901394901,hf3,hu3,C0,True,0.01,2,Solve_Succeeded,none,1.2558414602279664,7.434862171411513,0.18947151303291318,4.794708251953125,10.092401504516602,2.0,39.24,1.0,59.99999999999999,180.0,1.2632830456256867,7.752913549697398,0.19757679790258403,5.346761169433593,11.791477489471436
10,-0.6272464855796441,0.0,0.32876428230792865,0.22351406539649246,5.881335206211572,0.6575285646158573,0.07348344129580528,28.110916850059613,8.266836260078623,-50.061765472539456,36.57187167873151,-0.19470881999088618,-0.21753620267157503,81.61661263167761,-0.02526845422525799,hf1,hu1,C0,True,0.13,14,Solve_Succeeded,none,1.2578125,5.05828125,0.12890625,2.578125,2.8125,2.0,39.24,1.0,59.99999999999999,180.0,1.354296875,9.501904687500002,0.24214843750000004,10.042968750000002,25.846875
10,-0.6272464855796441,0.0,0.32876428230792865,0.22351406539649246,5.881335206211572,0.6575285646158573,0.07348344129580528,28.110916850059613,8.266836260078623,-50.061765472539456,36.57187167873151,-0.19470881999088618,-0.21753620267157503,81.61661263167761,-0.02526845422525799,hf2,hu2,C0,True,0.02,3,Solve_Succeeded,none,1.3437164306640623,8.685334753417969,0.22133880615234375,6.276855468750001,24.0295166015625,2.0,39.24,1.0,59.99999999999999,180.0,1.356842102050781,9.29642805834961,0.2369120300292969,7.351318359375001,27.14892626953125
10,-0.6272464855796441,0.0,0.32876428230792865,0.22351406539649246,5.881335206211572,0.6575285646158573,0.07348344129580528,28.110916850059613,8.266836260078623,-50.061765472539456,36.57187167873151,-0.19470881999088618,-0.21753620267157503,81.61661263167761,-0.02526845422525799,hf3,hu3,C0,True,0.01,2,Solve_Succeeded,none,1.3515419375896451,8.788029648908616,0.2239559033870697,6.662132263183595,25.452118377685547,2.0,39.24,1.0,59.99999999999999,180.0,1.3580265182137488,9.09254935241953,0.23171634435319902,7.195510940551758,26.997597193908693
11,-1.216599995815454,0.0,0.3866974028372565,0.224618287706887,5.88617062300646,0.773394805674513,0.08685930848600486,27.972723731999753,-3.1317070694761746,-47.770882749829454,39.29652763440201,0.9933380163747185,-2.147446071763664,80.00741186202342,-0.07122049948974984,hf1,hu1,C0,True,0.04,5,Solve_Succeeded,none,1.109375,2.7590624999999998,0.07031249999999999,2.109375,8.4375,2.0,39.24,1.0,59.99999999999999,180.0,1.145,4.2183,0.1075,4.425,15.299999999999999
11,-1.216599995815454,0.0,0.3866974028372565,0.224618287706887,5.88617062300646,0.773394805674513,0.08685930848600486,27.972723731999753,-3.1317070694761746,-47.770882749829454,39.29652763440201,0.9933380163747185,-2.147446071763664,80.00741186202342,-0.07122049948974984,hf2,hu2,C0,True,0.01,2,Solve_Succeeded,none,1.1360546875000002,3.8063566406250002,0.097001953125,2.4890624999999997,6.4546874999999995,2.0,39.24,1.0,59.99999999999999,180.0,1.1446941406250002,4.1606930742187505,0.10603193359375,3.0641718749999995,8.190140625
11,-1.216599995815454,0.0,0.3866974028372565,0.224618287706887,5.88617062300646,0.773394805674513,0.08685930848600486,27.972723731999753,-3.1317070694761746,-47.770882749829454,39.29652763440201,0.9933380163747185,-2.147446071763664,80.00741186202342,-0.07122049948974984,hf3,hu3,C0,True,0.0,1,Solve_Succeeded,none,1.1446941406250002,3.656859147262574,0.09319212913513185,3.0641718749999995,6.398547363281249,2.0,39.24,1.0,59.99999999999999,180.0,1.1446941406250002,3.656859147262574,0.09319212913513185,3.0641718749999995,6.398547363281249
12,-1.4581911368753953,0.0,0.2574140074997138,0.20240977702370858,4.257855021327113,0.5148280149994277,0.052103111860796324,31.04190617454031,-2.803589573439078,-51.34502486114407,52.721547606722154,0.5827873069286595,-1.1634317987919247,78.97578193824941,-0.03981026164381205,hf1,hu1,C0,True,0.04,5,Solve_Succeeded,none,1.109375,2.4525,0.0625,2.3437499999999996,9.140625,2.0,39.24,1.0,59.99999999999999,180.0,1.145,3.9240000000000004,0.1,4.6499999999999995,15.975000000000001
