completion_variant,scenario,group,mean_score,best_frequency_hz,best_rank_count,top3_count,average_rank,score_5hz,score_10hz,score_15hz,score_20hz,score_40hz,score_80hz,rank_5hz,rank_10hz,rank_15hz,rank_20hz,rank_40hz,rank_80hz
c0x09,s13,other scenario,1.0121966369246327,15,1,3,3.5,1.0895833172778997,0.8863391286815989,0.8808953331851186,0.991351822360845,1.3403931562178026,0.8846170638245319,5.0,3.0,1.0,4.0,6.0,2.0
c0x09,s14,other scenario,1.0046746116153114,80,1,3,3.5,1.1883233326440623,0.9887380107173244,1.0785598814425332,0.9238328715571802,0.9365567186796034,0.9120368546511644,6.0,4.0,5.0,2.0,3.0,1.0
c0x09,s15,other scenario,1.0050834271767184,40,1,3,3.5,1.1811648498357419,1.1042542427969257,0.9622361945869166,0.9729112473670682,0.9048901458199621,0.9050438826536956,6.0,5.0,3.0,4.0,1.0,2.0
c0x09,s16,other scenario,1.0005749151450167,80,1,3,3.5,1.0520800881781898,1.0303015037068401,0.9842426539588153,1.010538466733261,0.973483947845809,0.9528028304471856,6.0,5.0,3.0,4.0,2.0,1.0
c0x09,s17,other scenario,1.0003317481895904,10,1,3,3.5,1.0149071551202933,0.9709400968165806,0.9736742043206291,1.040250492189974,1.0186476341461927,0.9835709065438728,4.0,1.0,2.0,6.0,5.0,3.0
c0x09,s18,other scenario,1.002249859890613,80,1,3,3.5,1.1304155057956597,0.9660327101471519,0.9622083111572304,1.0037932477659943,1.0350467616222518,0.9160026228553904,6.0,3.0,2.0,4.0,5.0,1.0
c0x09,s19,completion scenario,1.0055709961907495,10,1,3,3.5,1.150581536597737,0.8281621360043696,0.9356663449417916,0.9928366416804468,1.0842048227903887,1.0419744951297631,6.0,1.0,2.0,3.0,5.0,4.0
c0x11,s00,other scenario,1.0018319006916867,80,1,3,3.5,1.126238496822606,1.0113358337190979,0.9683166894082942,0.9887447330722883,0.9913105391986823,0.9250451119291514,6.0,5.0,2.0,3.0,4.0,1.0
c0x11,s01,completion scenario,1.0159192881251922,10,1,3,3.5,0.9899655644249445,0.78807057810793,0.8128703865857503,1.0304230792141196,1.2468150450006927,1.227371075417716,3.0,1.0,2.0,4.0,6.0,5.0
c0x11,s02,other scenario,1.0004540662835835,80,1,3,3.5,1.0649133734836944,0.9820000965696041,0.9968314126317163,0.9927665530248679,0.9977056015792601,0.9685073604123579,6.0,2.0,4.0,3.0,5.0,1.0
