scenario_id,deck_vx,deck_z0,deck_z_amp,deck_z_freq,deck_z_phase,deck_z_peak_to_peak,deck_z_peak_vz,deck_z_period_s,base_wind_x,rel_x0,rel_z0,v_x_rel0,v_z0,theta_deg,q,C0_tw_ratio,C0_T_dot_max,C0_T_dot_weight_per_sec,C0_delta_max_deg,C0_delta_dot_max_deg_s,hu1_tw_ratio,hu1_T_dot_max,hu1_T_dot_weight_per_sec,hu1_delta_max_deg,hu1_delta_dot_max_deg_s,hf1_tw_ratio,hf1_T_dot_max,hf1_T_dot_weight_per_sec,hf1_delta_max_deg,hf1_delta_dot_max_deg_s,hu2_tw_ratio,hu2_T_dot_max,hu2_T_dot_weight_per_sec,hu2_delta_max_deg,hu2_delta_dot_max_deg_s,hf2_tw_ratio,hf2_T_dot_max,hf2_T_dot_weight_per_sec,hf2_delta_max_deg,hf2_delta_dot_max_deg_s,hu3_tw_ratio,hu3_T_dot_max,hu3_T_dot_weight_per_sec,hu3_delta_max_deg,hu3_delta_dot_max_deg_s,hf3_tw_ratio,hf3_T_dot_max,hf3_T_dot_weight_per_sec,hf3_delta_max_deg,hf3_delta_dot_max_deg_s,hu4_tw_ratio,hu4_T_dot_max,hu4_T_dot_weight_per_sec,hu4_delta_max_deg,hu4_delta_dot_max_deg_s,hf1_success,hf1_alpha,hf1_attempts,hf2_success,hf2_alpha,hf2_attempts,hf3_success,hf3_alpha,hf3_attempts,final_box_ready,method
10,-0.6272464855796441,0.0,0.32876428230792865,0.22351406539649246,5.881335206211572,0.6575285646158573,0.07348344129580528,28.110916850059613,8.266836260078623,-50.061765472539456,36.57187167873151,-0.19470881999088618,-0.21753620267157503,81.61661263167761,-0.02526845422525799,2.0,39.24,1.0,59.99999999999999,180.0,1.2578125,6.13125,0.15624999999999997,2.578125,2.8125,1.346875,10.104299999999999,0.25749999999999995,9.46875,24.075,1.3363525390625002,9.749070703125,0.24844726562499997,6.36181640625,15.6111328125,1.3429890136718752,10.04397999609375,0.25596279296874996,6.8981982421875,17.255021484374996,1.3429890136718752,4.433475545150756,0.11298357658386228,5.820354766845703,8.627510742187498,1.3824096728515627,6.52186701244171,0.16620456198883052,9.07113348083496,18.909860097656246,1.3824096728515627,4.432831485018975,0.11296716322678325,7.653768874454498,18.762126815643306,True,0.12,13,True,0.01,2,True,0.06,7,True,recursive_C0_contraction_plus_dual_direction_final_search
11,-1.216599995815454,0.0,0.3866974028372565,0.224618287706887,5.88617062300646,0.773394805674513,0.08685930848600486,27.972723731999753,-3.1317070694761746,-47.770882749829454,39.29652763440201,0.9933380163747185,-2.147446071763664,80.00741186202342,-0.07122049948974984,2.0,39.24,1.0,59.99999999999999,180.0,1.109375,2.29921875,0.05859375,1.640625,8.4375,1.145,3.77685,0.09625,3.975,15.299999999999999,1.1360546875000002,2.5228177734374997,0.0642919921875,2.9812499999999997,6.4546874999999995,1.1533335937500002,3.25716141796875,0.08300615234374999,4.121625,9.92559375,1.1353127563476564,2.048449173019409,0.052203087997436524,2.3184140625,8.064544921875001,1.1439596287841798,2.420364681289215,0.061681057117462156,2.8952299218750004,9.78389947265625,1.1350224441843033,2.108364546591777,0.05372998334841429,2.352374311523438,7.032177745971679,True,0.04,5,True,0.02,3,True,0.01,2,True,recursive_C0_contraction_plus_dual_direction_final_search
12,-1.4581911368753953,0.0,0.2574140074997138,0.20240977702370858,4.257855021327113,0.5148280149994277,0.052103111860796324,31.04190617454031,-2.803589573439078,-51.34502486114407,52.721547606722154,0.5827873069286595,-1.1634317987919247,78.97578193824941,-0.03981026164381205,2.0,39.24,1.0,59.99999999999999,180.0,1.1171875,2.29921875,0.05859375,2.109375,8.4375,1.161328125,4.1462578125,0.10566406249999999,5.00390625,17.015625,1.143182373046875,3.8223314208984376,0.0974090576171875,4.222045898437499,7.976074218750001,1.143182373046875,3.8223314208984376,0.0974090576171875,4.222045898437499,7.976074218750001,1.143182373046875,3.8223314208984376,0.0974090576171875,4.222045898437499,7.976074218750001,1.143182373046875,3.8223314208984376,0.0974090576171875,4.222045898437499,7.976074218750001,1.143182373046875,3.8223314208984376,0.0974090576171875,4.222045898437499,7.976074218750001,True,0.05,6,True,0.0,1,True,0.0,1,True,recursive_C0_contraction_plus_dual_direction_final_search
13,-0.034247863945400026,0.0,0.3657160531908956,0.34245595369798487,1.7997947240423582,0.7314321063817912,0.12524163977815111,18.34742611226665,-4.305641539987947,-27.255747120639185,35.87008219851897,0.16559412698047415,-1.0418572431335043,79.67381601555292,0.0569526898504375,2.0,39.24,1.0,59.99999999999999,180.0,1.109375,2.29921875,0.05859375,3.9843750000000004,18.28125,1.1984375,5.993296875,0.152734375,9.5859375,34.45312500000001,1.1984375,2.9966484375,0.0763671875,9.5859375,34.45312500000001,1.1984375,2.9966484375,0.0763671875,9.5859375,34.45312500000001,1.1422607421875,2.984942779541016,0.07606887817382812,8.98681640625,34.45312500000001,1.1594155273437499,3.7100439239501957,0.09454750061035157,10.007080078125,37.3640625,1.150357593536377,2.724563506650925,0.06943332076072693,10.007080078125,37.3640625,True,0.1,11,True,0.0,1,True,0.02,3,True,recursive_C0_contraction_plus_dual_direction_final_search
14,-1.4464896480690368,0.0,0.22728599919143375,0.32100286453006516,5.006549421874275,0.4545719983828675,0.0729594568080283,19.573611333275508,3.6497145174196106,-48.02077774100699,53.576935670966876,0.3180474621000329,-0.5042004063151744,77.47839562951359,-0.05266752740048378,2.0,39.24,1.0,59.99999999999999,180.0,1.109375,2.4525,0.0625,1.40625,9.140625,1.15390625,4.291875,0.109375,4.335937500000001,17.68359375,1.15390625,3.53744384765625,0.09014892578125,4.335937500000001,7.460266113281251,1.15390625,3.53744384765625,0.09014892578125,4.335937500000001,7.460266113281251,1.1358764648437498,3.0814452266693113,0.07852816581726073,3.2519531250000004,6.993999481201172,1.1531589355468748,3.8046163221359253,0.09695760250091552,4.386914062500001,10.45411949157715,1.135140827178955,3.1358361092604703,0.07991427393630147,3.5643676757812504,6.697170299291612,True,0.05,6,True,0.0,1,True,0.02,3,True,recursive_C0_contraction_plus_dual_direction_final_search
15,0.7380428407303392,0.0,0.4041421908559776,0.19789727357520123,0.41820163208344324,0.8082843817119552,0.07997863770710659,31.749731533274346,-3.6980490724617177,-37.166990087306445,40.11606354674444,0.9739925713690241,-1.7862302499746288,75.5539540916426,-0.06507170581282946,2.0,39.24,1.0,59.99999999999999,180.0,1.1328125,1.68609375,0.04296874999999999,1.640625,8.4375,1.193515625,4.314867187500001,0.10996093750000002,5.725781249999999,20.446875000000002,1.1748669433593752,3.4552647399902354,0.0880546569824219,2.14716796875,7.028613281250001,1.1913696044921878,4.170959445190431,0.10629356384277347,3.3042246093750003,10.488041015625,1.1681006669044496,2.7371921359062203,0.06975515127182008,2.47816845703125,6.227274353027344,1.1764196602354051,3.1022202145471582,0.07905759975910188,3.0533867724609376,7.965001609497071,1.1488473244486377,2.665970496876464,0.06794012479297819,2.8625500991821293,6.9693764083099365,True,0.07,8,True,0.02,3,True,0.01,2,True,recursive_C0_contraction_plus_dual_direction_final_search
16,-1.3398542021184738,0.0,0.3477859540277428,0.29572146955591605,2.4732531028253883,0.6955719080554856,0.10284777341599037,21.246970389451345,-5.304399007795329,-45.46026709143852,52.65841829577805,1.1250148267038256,-0.5423972583089263,78.73614138459571,0.0047505897435274475,2.0,39.24,1.0,59.99999999999999,180.0,1.109375,1.68609375,0.04296874999999999,1.8749999999999998,9.140625,1.15390625,3.5637890625,0.0908203125,4.78125,17.68359375,1.1448913574218749,2.89557861328125,0.07379150390625,2.390625,7.736572265625001,1.1619935302734374,3.622467041015625,0.092315673828125,3.5428124999999997,11.181840820312502,1.143837381362915,2.9432544708251953,0.07500648498535156,3.5428124999999997,6.115069198608399,1.1523990075492858,3.3062219261169434,0.08425642013549804,4.107384375,7.853918506622315,1.143395890302807,1.5756213866651059,0.04015345022082329,3.3372498046874997,7.853918506622315,True,0.05,6,True,0.02,3,True,0.01,2,True,recursive_C0_contraction_plus_dual_direction_final_search
17,-1.194984291288852,0.0,0.40836463844713994,0.18883351729906772,5.8109528428787955,0.8167292768942799,0.07711293101853553,33.273676183389114,6.832414084377497,-52.026605752603736,64.52512330592134,1.207959431782851,-0.24698743465083695,83.57572144122557,-0.007440126881296832,2.0,39.24,1.0,59.99999999999999,180.0,1.171875,2.91234375,0.07421874999999999,2.3437499999999996,5.625,1.2878125,7.998215625000001,0.20382812500000003,10.415625,30.0375,1.1972631835937502,6.59227928466797,0.16799896240234377,8.78818359375,26.282812500000002,1.2374000244140626,8.224665320434571,0.20959901428222658,11.3487744140625,33.968671875000005,1.198731273651123,6.168498990325928,0.15719926071166992,10.462151412963868,29.19182739257813,1.2227693354415894,7.16064402061615,0.18248328289031981,11.94828687057495,33.71607257080079,1.2227693354415894,7.020787692088492,0.17891915627136828,11.574902905869484,33.18925893688203,True,0.14,15,True,0.05,6,True,0.03,4,True,recursive_C0_contraction_plus_dual_direction_final_search
18,-0.34473151169893956,0.0,0.35989081780927756,0.2252987639751438,0.8781908261137401,0.7197816356185551,0.08108295641843391,27.888236918480306,-0.1377208027800414,-40.66368177928763,49.59112790082098,-0.8022901784133789,-1.6547228367352056,79.80910428300079,-0.03432775899906225,2.0,39.24,1.0,59.99999999999999,180.0,1.109375,2.29921875,0.05859375,2.109375,8.4375,1.15390625,4.1462578125,0.10566406249999999,5.00390625,17.015625,1.1358764648437498,4.097668853759766,0.10442581176757812,4.222045898437499,16.48388671875,1.1358764648437498,4.097668853759766,0.10442581176757812,4.222045898437499,16.48388671875,1.1358764648437498,3.8415645503997804,0.09789919853210449,2.902656555175781,6.18145751953125,1.17044140625,5.25750196838379,0.13398323059082032,5.186550292968749,13.13419921875,1.1247210388183593,5.1137421489357955,0.1303196266293526,3.5657533264160155,6.156655883789063,True,0.05,6,True,0.0,1,True,0.04,5,True,recursive_C0_contraction_plus_dual_direction_final_search
19,0.10630436949000943,0.0,0.4121401221934061,0.2909398478952173,5.054142914572407,0.8242802443868122,0.11990798446246585,21.59616619254744,-2.7615265099885065,-39.018331718027795,57.152117024366724,-0.6355331574526148,-0.8097457266863313,75.8449321882352,0.0871879645401252,2.0,39.24,1.0,59.99999999999999,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,recursive_C0_contraction_plus_dual_direction_final_search
