family,method,Frequency,Rank,Score,ranking
aggregation_method,geomean,80,1.0,0.9287842101314162,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
aggregation_method,median,5,6.0,1.1822146305998351,80 Hz > 15 Hz > 10 Hz > 20 Hz > 40 Hz > 5 Hz
aggregation_method,median,10,3.0,0.9771840039000977,80 Hz > 15 Hz > 10 Hz > 20 Hz > 40 Hz > 5 Hz
aggregation_method,median,15,2.0,0.971497385934176,80 Hz > 15 Hz > 10 Hz > 20 Hz > 40 Hz > 5 Hz
aggregation_method,median,20,4.0,0.9823908877015035,80 Hz > 15 Hz > 10 Hz > 20 Hz > 40 Hz > 5 Hz
aggregation_method,median,40,5.0,0.9890514592615874,80 Hz > 15 Hz > 10 Hz > 20 Hz > 40 Hz > 5 Hz
aggregation_method,median,80,1.0,0.9223680598115476,80 Hz > 15 Hz > 10 Hz > 20 Hz > 40 Hz > 5 Hz
aggregation_method,arithmetic_mean,5,6.0,1.1840437369114651,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,arithmetic_mean,10,4.0,0.9872325333775734,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,arithmetic_mean,15,3.0,0.9744325438461374,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,arithmetic_mean,20,2.0,0.9718048641485327,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,arithmetic_mean,40,5.0,0.9895526927557986,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,arithmetic_mean,80,1.0,0.92956279752228,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,trimmed_log_geomean,5,6.0,1.174722856440043,80 Hz > 20 Hz > 40 Hz > 15 Hz > 10 Hz > 5 Hz
aggregation_method,trimmed_log_geomean,10,5.0,0.9867496452386892,80 Hz > 20 Hz > 40 Hz > 15 Hz > 10 Hz > 5 Hz
aggregation_method,trimmed_log_geomean,15,4.0,0.9732837380015867,80 Hz > 20 Hz > 40 Hz > 15 Hz > 10 Hz > 5 Hz
aggregation_method,trimmed_log_geomean,20,2.0,0.9681956309324379,80 Hz > 20 Hz > 40 Hz > 15 Hz > 10 Hz > 5 Hz
aggregation_method,trimmed_log_geomean,40,3.0,0.9731894004179081,80 Hz > 20 Hz > 40 Hz > 15 Hz > 10 Hz > 5 Hz
aggregation_method,trimmed_log_geomean,80,1.0,0.9309618761406305,80 Hz > 20 Hz > 40 Hz > 15 Hz > 10 Hz > 5 Hz
aggregation_method,avg_rank,5,6.0,5.705882352941177,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,avg_rank,10,4.0,3.3529411764705883,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,avg_rank,15,3.0,3.2941176470588234,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,avg_rank,20,2.0,3.235294117647059,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,avg_rank,40,5.0,3.4705882352941178,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
aggregation_method,avg_rank,80,1.0,1.9411764705882353,80 Hz > 20 Hz > 15 Hz > 10 Hz > 40 Hz > 5 Hz
coupling_lambda,0,80,1.0,0.9287842101314162,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
coupling_lambda,0,20,2.0,0.969431658011816,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
coupling_lambda,0,15,3.0,0.9726680702961661,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
coupling_lambda,0,40,4.0,0.9845799398927295,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
coupling_lambda,0,10,5.0,0.9848164519394912,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
coupling_lambda,0,5,6.0,1.177597949124163,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
coupling_lambda,0.5,80,1.0,0.9283592852235,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
coupling_lambda,0.5,20,2.0,0.969173642526429,80 Hz > 20 Hz > 15 Hz > 40 Hz > 10 Hz > 5 Hz
