family,method,mode,frequency_hz,rank,score,gap_vs_best_pct,win_count,top2_count,top3_count,avg_rank,Tw,Tdot,delta,delta_dot
weight_method,all_permutation_median_k,raw,10,5.0,0.9866739765997751,5.911823532587812,2,5,8,3.4705882352941178,0.9968779103244023,0.9586911671723967,1.0034444620761276,0.8912147831014613
weight_method,all_permutation_median_k,raw,5,6.0,1.1661857127568496,25.181020625852746,0,0,1,5.647058823529412,1.0356789161081457,1.6276717095210784,1.3767746963673468,1.60284260768737
weight_method,all_permutation_mean_k,raw,80,1.0,0.9047263549219865,0.0,8,11,16,1.9411764705882353,0.9924670676906736,0.8694587115706293,0.8073217120514191,0.8117162951297823
weight_method,all_permutation_mean_k,raw,15,2.0,0.9613850053546283,6.262517956330282,1,4,10,3.3529411764705883,0.9955065028373621,0.8900544447345994,0.9457138819725897,0.9460557197210555
weight_method,all_permutation_mean_k,raw,20,3.0,0.9624069932696491,6.375478953814295,3,5,8,3.2941176470588234,0.991674183419186,0.9200346558691908,0.915836414731188,0.9689706573957474
weight_method,all_permutation_mean_k,raw,10,4.0,0.9735724022027868,7.609598958431674,3,7,8,3.2941176470588234,0.9968779103244023,0.9586911671723967,1.0034444620761276,0.8912147831014613
weight_method,all_permutation_mean_k,raw,40,5.0,0.9751253009629989,7.781241881373369,2,7,9,3.2941176470588234,0.9885614686800216,0.9000875107001636,1.03518859803738,0.9407952880335497
weight_method,all_permutation_mean_k,raw,5,6.0,1.2583398913846684,39.085137128913814,0,0,0,5.823529411764706,1.0356789161081457,1.6276717095210784,1.3767746963673468,1.60284260768737
weight_method,equal_weights,raw,80,1.0,0.8671694935417769,0.0,8,9,16,2.0588235294117645,0.9924670676906736,0.8694587115706293,0.8073217120514191,0.8117162951297823
weight_method,equal_weights,raw,15,2.0,0.9435920834440285,8.812878044189398,1,5,10,3.235294117647059,0.9955065028373621,0.8900544447345994,0.9457138819725897,0.9460557197210555
weight_method,equal_weights,raw,20,3.0,0.9485832067220754,9.388442949922137,3,5,8,3.2941176470588234,0.991674183419186,0.9200346558691908,0.915836414731188,0.9689706573957474
weight_method,equal_weights,raw,10,4.0,0.9614995940993031,10.877931161099097,3,8,9,3.1176470588235294,0.9968779103244023,0.9586911671723967,1.0034444620761276,0.8912147831014613
weight_method,equal_weights,raw,40,5.0,0.9648299071837535,11.261975238900824,2,7,8,3.4705882352941178,0.9885614686800216,0.9000875107001636,1.03518859803738,0.9407952880335497
weight_method,equal_weights,raw,5,6.0,1.388789505593001,60.15202517339184,0,0,0,5.823529411764706,1.0356789161081457,1.6276717095210784,1.3767746963673468,1.60284260768737
