family,method,mode,frequency_hz,rank,score,gap_vs_best_pct,win_count,top2_count,top3_count,avg_rank,Tw,Tdot,delta,delta_dot
weight_method,all_permutation_mean_k,c0x09,15,2.0,0.949225532181227,2.3442373018585982,1,6,12,3.2,0.9945723353005633,0.844028843370549,0.9250408835105675,0.9457887392992657
weight_method,all_permutation_mean_k,c0x09,80,3.0,0.9538611384567514,2.8440422192527404,8,11,16,2.5,0.9996783441181911,0.9479684507922291,0.8522692178067844,0.9463971546326915
weight_method,all_permutation_mean_k,c0x09,20,4.0,0.9613126386525928,3.6474530825758356,3,6,10,3.3,0.9885039285363575,0.8856199831808801,0.9488953181374274,0.9667177326098734
weight_method,all_permutation_mean_k,c0x09,40,5.0,1.0088455926339042,8.772393106832244,2,7,9,3.5,0.9891319875195246,0.977842177739432,1.0610260706873962,1.039381809973508
weight_method,all_permutation_mean_k,c0x09,5,6.0,1.2278634239613424,32.38660505412976,0,0,2,5.55,1.0378159693734814,1.554805984390836,1.3445433701339558,1.471069153430662
weight_method,equal_weights,c0x09,10,1.0,0.8984493735117549,0.0,6,11,12,2.8,0.9911750137502834,0.9282318176668697,0.9370075604399792,0.7558307370247068
weight_method,equal_weights,c0x09,15,2.0,0.9257360628226708,3.037087020747853,1,7,12,3.15,0.9945723353005633,0.844028843370549,0.9250408835105675,0.9457887392992657
weight_method,equal_weights,c0x09,80,3.0,0.9350311927165713,4.071661718882358,8,9,16,2.55,0.9996783441181911,0.9479684507922291,0.8522692178067844,0.9463971546326915
weight_method,equal_weights,c0x09,20,4.0,0.946642392155675,5.364021620444648,3,6,10,3.25,0.9885039285363575,0.8856199831808801,0.9488953181374274,0.9667177326098734
weight_method,equal_weights,c0x09,40,5.0,1.0162628382130843,13.112977556079052,2,7,8,3.7,0.9891319875195246,0.977842177739432,1.0610260706873962,1.039381809973508
weight_method,equal_weights,c0x09,5,6.0,1.3365989459151781,48.76730791083253,0,0,2,5.55,1.0378159693734814,1.554805984390836,1.3445433701339558,1.471069153430662
